	individual_1	individual_2	individual_3	individual_4	individual_5	individual_6
cg11244340	0.018142173	0.02085624	0.015393042	0.021426149	0.019624409	0.019147007
cg11251367	NA	NA	NA	NA	NA	NA
cg11290949	NA	NA	NA	NA	NA	NA
cg11315081	NA	NA	NA	NA	NA	NA
cg11331803	NA	NA	NA	NA	NA	NA
cg11331837	NA	NA	NA	NA	NA	NA
cg11342941	0.960727987	0.959673022	0.955599539	0.947967123	0.962897955	0.959341361
cg11348265	NA	NA	NA	NA	NA	NA
cg11351900	0.943907301	0.932696309	0.94353223	0.905309382	0.934910523	0.920236999
cg11365440	0.66276089	0.642501306	0.629062202	0.662299501	0.58594574	0.616282051
cg11409275	0.058974516	0.067544452	0.077618521	0.071391224	0.064326997	0.080122936
cg11430259	0.301340059	0.22511022	0.221417882	0.168501696	0.25433283	0.211666027
cg11471799	0.155036875	0.166524918	0.092514147	NA	0.158082061	NA
cg11480019	NA	NA	NA	NA	NA	NA
cg11481687	NA	NA	NA	NA	NA	NA
cg11488033	0.595346387	0.632550646	0.585093506	0.526983246	0.68483613	0.679389986
cg11489971	0.911086887	0.933261258	0.853235529	0.939847931	0.937999721	0.924594649
cg11508013	NA	NA	NA	NA	NA	NA
cg11541712	NA	NA	NA	NA	NA	NA
cg11546242	0.938443842	0.923910699	0.931140083	0.907708449	0.928819954	0.929167614
cg11550483	NA	NA	NA	NA	NA	NA
cg11560627	0.948946962	0.956465164	0.951878734	0.939735807	0.950509504	0.947099451
cg11568314	0.940473284	0.945217481	0.93717596	0.941567012	0.945114975	0.930701163
cg11606444	0.772230105	0.78010764	0.823780161	0.626222525	0.745044889	0.669021985
cg11638966	0.71498309	0.753551018	0.712806911	0.71853973	0.656381927	0.720228901
cg11651932	NA	NA	NA	NA	NA	NA
cg11655243	0.35119835	0.468611734	0.409622282	NA	0.437283722	0.408263781
cg11663691	NA	NA	NA	NA	NA	NA
cg11698827	0.879344078	0.869951972	0.889639865	0.811940818	0.870542221	0.836267619
cg11699126	NA	NA	NA	NA	NA	NA
cg11701583	NA	NA	NA	NA	NA	NA
cg11710211	0.678791664	0.729562606	0.77397202	0.712530564	0.629426767	0.630086329
cg11714320	NA	NA	NA	NA	NA	NA
cg11716160	0.074658437	0.062954764	0.063569838	0.066337668	0.078479036	0.064584746
cg11724461	NA	NA	NA	NA	NA	NA
cg11731939	0.099681136	0.094447976	0.084550992	0.090967223	0.101764954	0.082621963
cg11739051	0.937745496	0.952350362	0.94673007	0.934174827	0.948798614	0.952932743
cg11740348	0.366205627	0.287956439	0.292333849	0.470239371	0.475478522	0.331852144
cg11769851	NA	NA	NA	NA	NA	NA
cg11775124	NA	NA	NA	NA	NA	NA
cg11838688	0.042033386	0.036420688	0.030587459	0.041944601	0.038622717	0.039557381
cg11851804	0.433393596	0.45111742	0.474334873	0.376151938	0.474273072	0.401091691
cg11857805	NA	NA	NA	NA	NA	NA
cg11861562	0.44493535	0.481508805	0.486541259	0.341567463	0.544383913	0.523544721
cg11885201	NA	NA	NA	NA	NA	NA
cg11905651	0.076368125	0.090041068	0.090547416	0.082100104	0.090304991	0.083029803
cg11965913	0.633889871	0.272017267	0.119694687	0.430964381	0.175521312	0.374736677
cg12011926	NA	NA	NA	NA	NA	NA
cg12042203	0.850241068	0.741336784	0.874520393	0.837318231	0.777715678	0.722838886
cg12047941	0.54858692	0.501847869	0.393840124	0.514931131	0.484697544	0.510609787
cg12061236	0.284747192	0.303336498	0.329469361	0.282637656	0.274688639	0.285783747
cg12067981	0.96892625	0.971521201	0.976842301	0.964424111	0.962904106	0.962808409
cg12070987	0.793415564	0.776604203	0.879893758	0.685989057	0.799753449	0.726324059
cg12082048	0.900132501	0.901691779	0.881355807	0.889882014	0.912737337	0.910292205
cg12090740	0.511892373	0.447760804	0.538488611	0.435220542	0.325075359	0.415354532
cg12117942	0.9434232	0.952977405	0.945044516	0.94905751	0.95275728	0.955895014
cg12137286	0.019882417	0.019374551	0.017568944	0.018034519	0.023817813	0.026909234
cg12173150	0.537118744	0.437515275	0.5446464	0.428435415	0.490672667	0.505140675
cg12175087	NA	NA	NA	NA	NA	NA
cg12208532	0.930277246	0.935590751	0.944346255	0.918934267	0.93333491	0.924863688
cg12214617	NA	NA	NA	NA	NA	NA
cg12219469	0.81779954	0.890717569	0.857906981	0.874747459	0.90389227	0.860550543
cg12219715	0.733327615	0.72609504	0.673115388	0.787436616	0.722512831	0.767083824
cg12232308	0.550652165	0.55988507	0.652588719	0.441727218	0.474991875	0.495244408
cg12241963	0.766261698	0.769689051	0.797588483	0.745405031	0.7908904	0.755509502
cg12284268	NA	NA	NA	NA	NA	NA
cg12289617	NA	NA	NA	NA	NA	NA
cg12311377	NA	NA	NA	NA	NA	NA
cg12315284	0.398052409	0.388502728	0.357636057	NA	0.400972482	0.456542322
cg12329178	0.103077201	0.09547648	0.093763287	0.071212143	0.110152954	0.110726206
cg12339131	NA	NA	NA	NA	NA	NA
cg12390344	0.327318966	0.270729475	0.301355858	0.287058068	0.279538677	0.256137792
cg12391372	NA	NA	NA	NA	NA	NA
cg12395299	0.630482138	0.618560849	0.622929304	0.592544904	0.639289152	0.607103814
cg12400041	NA	NA	NA	NA	NA	NA
cg12401798	NA	NA	NA	NA	NA	NA
cg12402129	0.856824361	0.860687016	0.890484134	0.767241632	0.863324972	0.856230763
cg12419766	0.98024546	0.980456945	0.984932013	0.973131507	0.979321069	0.976566796
cg12420900	0.151714773	0.145311252	0.210279734	0.157990331	0.134865005	0.167963726
cg12444746	NA	NA	NA	NA	NA	NA
cg12446209	0.466823581	0.488386189	0.492195376	0.484525417	0.425114849	0.447624807
cg12465643	0.130757895	0.118726935	0.138792219	0.107430076	0.126185958	0.109042282
cg12481212	0.383974644	0.428290469	0.466065013	0.275170434	0.408139521	0.38234224
cg12486169	0.14839725	0.148733658	0.147353942	0.12753348	0.134474355	0.152352556
cg12499119	NA	NA	NA	NA	NA	NA
cg12500300	NA	NA	NA	NA	NA	NA
cg12507879	0.920094195	0.922066927	0.943191755	0.913637105	0.941708248	0.932404533
cg12531498	NA	NA	NA	NA	NA	NA
cg12549600	0.133383162	0.058018147	0.089411766	0.180940932	0.102231656	0.096538185
cg12562822	NA	NA	NA	NA	NA	NA
cg12584100	0.757770756	0.745533055	0.697800679	0.473791273	0.606030612	0.730423025
cg12590521	0.318656021	0.308871831	0.369343735	0.2064931	0.367560876	0.328471525
cg12591689	0.960825926	0.967316494	0.964459182	0.947667433	0.966544456	0.962894192
cg12602405	0.494070304	NA	0.69662965	NA	NA	NA
cg12602653	0.924185279	0.915959367	0.944773267	0.904652345	0.940086368	0.925725532
cg12611897	0.87020624	0.875101554	0.810269153	0.886220863	0.779518704	0.886578179
cg12615916	0.089034392	0.353310436	0.407545369	0.072920666	0.088266736	0.068119276
cg12622653	NA	NA	NA	NA	NA	NA
cg12630606	0.129332766	0.078572761	0.140223001	0.070602642	0.08630188	0.07834378
cg12636197	0.899085723	0.883170315	0.857017569	0.90492383	0.876584445	0.900202209
cg12655251	0.562516507	0.690127857	0.747041946	0.635446791	0.707412462	0.671867448
cg12655768	NA	NA	NA	NA	NA	NA
cg12659570	NA	NA	NA	NA	NA	NA
cg12667732	0.815106279	0.831508199	0.763814385	0.873899906	0.793182404	0.863110837
cg12689425	0.938076337	0.932182129	0.948039589	0.876406635	0.924314408	0.900188981
cg12703269	0.926151677	0.934437778	0.951166061	0.902151519	0.934354258	0.926024745
cg12761825	0.756299014	0.754040582	0.687275881	0.448522685	0.576339852	0.708884207
cg12792363	0.925141523	0.946014524	0.960902175	0.914485008	0.931613128	0.951503399
cg12793733	0.443062768	0.536710034	0.597341773	NA	0.386095729	0.552189423
cg12824719	0.027845554	0.019984387	0.018816341	0.03227564	0.02187815	0.022861002
cg12842409	0.931625324	0.958602262	0.957990647	0.943137912	0.942981355	0.945911772
cg12861797	0.371990605	0.393407495	0.413102212	0.28039998	0.345501552	0.35883484
cg12866229	0.62669088	0.594041069	0.556794362	0.525019252	0.54837778	0.599266733
cg12869097	NA	NA	NA	NA	NA	NA
cg12870014	0.949298965	0.953072936	0.957322907	0.900446731	0.948576834	0.924878427
cg12884814	0.410598783	0.392675636	0.39510782	0.440736489	0.371941637	0.440133663
cg12909523	0.403919889	0.389514349	0.367439673	0.403334252	0.440582098	0.439556975
cg12988380	0.922787681	0.89334809	0.917965724	0.935381186	0.915539359	0.876252853
cg12993026	NA	NA	NA	NA	NA	NA
cg12995090	0.254798996	0.256981973	0.340713829	0.204456956	0.240814388	0.229496433
cg13033898	0.129527403	0.138183927	0.157013114	0.122799556	0.098823526	0.131650714
cg13052680	0.947469133	0.952956334	0.951353875	0.918798952	0.944400633	0.938953345
cg13055001	0.378019386	0.294971766	0.297911431	0.328912569	0.42737312	0.381194586
cg13065507	0.84475788	0.818119094	0.818649473	0.59791705	0.736444619	0.858976348
cg13084372	0.869315632	0.850289201	0.869051126	0.849324281	0.896143996	0.879517564
cg13096592	0.531359257	0.479283244	0.522463014	0.440949463	0.497644113	0.488877523
cg13103259	NA	NA	NA	NA	NA	NA
cg13151751	0.384627638	0.373535462	0.308222782	0.455451595	0.364869454	0.38981758
cg13171718	NA	NA	NA	NA	NA	NA
cg13183651	NA	NA	NA	NA	NA	NA
cg13184710	NA	NA	NA	NA	NA	NA
cg13205059	NA	NA	NA	NA	NA	NA
cg13211008	NA	NA	NA	NA	NA	NA
cg13261883	0.786800583	0.847523814	0.870127932	0.498924987	0.774813721	0.799853441
cg13262159	NA	NA	NA	NA	NA	NA
cg13282195	0.145890002	0.337037728	0.416205905	0.101064754	0.089858619	0.080713775
cg13284426	NA	NA	NA	NA	NA	NA
cg13285862	0.135544007	0.156084688	0.10220016	0.123421447	0.138036798	0.148904431
cg13293535	0.836037366	0.767800069	0.709536555	0.68488961	0.87624808	0.776588569
cg13337949	0.569275647	0.579071972	0.67304387	0.492212188	0.508962677	0.524739377
cg13374726	0.27613827	0.332376794	0.276710482	0.194414736	0.285567475	0.286423418
cg13420075	0.575469109	0.627088126	0.684950717	0.487146822	0.561353831	0.57677683
cg13422830	NA	NA	NA	NA	NA	NA
cg13450266	0.397111838	0.419640376	0.32842474	0.589324811	0.342592861	0.387228433
cg13466694	0.357511198	0.328764749	0.297370875	0.355437195	0.324967176	0.219892787
cg13488137	NA	NA	NA	NA	NA	NA
cg13514129	0.034206194	0.037618837	0.026290957	0.030374431	0.038364278	0.025955991
cg13518121	NA	NA	NA	NA	NA	NA
cg13541527	0.766272886	0.793227766	0.785031647	0.757868054	0.829613383	0.808860323
cg13553703	NA	NA	NA	NA	NA	NA
cg13580343	NA	NA	NA	NA	NA	NA
cg13603318	NA	NA	NA	NA	NA	NA
cg13621101	NA	NA	NA	NA	NA	NA
cg13630953	0.090788028	0.053294112	0.060937472	0.05681175	0.090926321	0.097922776
cg13632935	0.940184317	0.942431305	0.933577708	0.952628836	0.927599326	0.957569813
cg13639937	0.930837058	0.933892035	0.88693304	0.926494269	0.92320858	0.918649437
cg13655660	0.080293419	0.075524577	0.078822235	0.094239072	0.073820235	0.109006201
cg13680023	0.90019435	0.919786296	0.912633222	0.913998951	0.927817435	0.912694285
cg13681940	0.094841641	0.082430667	0.120838719	0.072257571	0.073248706	0.083265099
cg13688262	0.531085622	0.499144775	0.48290835	0.538340206	0.538710328	0.524381657
cg13706613	0.947748877	0.948265254	0.945063693	0.93395249	0.944669664	0.934084024
cg13745142	0.198170339	0.194840194	0.171443701	0.181605997	0.180266432	0.186260748
cg13752726	NA	NA	NA	NA	NA	NA
cg13796823	NA	NA	NA	NA	NA	NA
cg13797231	0.947615973	0.945158136	0.951025125	0.927138712	0.941816666	0.936491679
cg13800349	0.980217164	0.979490106	0.983481882	0.963675255	0.978351485	0.970427727
cg13804571	0.907905097	0.909189033	0.925653827	0.924597109	0.932591799	0.923046438
cg13809748	0.019706988	0.016215533	0.017629526	0.018059949	0.017296333	0.020600194
cg13810644	0.588017773	0.518820411	0.551120862	0.545627546	0.525351328	0.631064383
cg13819687	0.927073505	0.942688487	0.941294387	0.936424296	0.940655841	0.943179074
cg13821051	NA	NA	NA	NA	NA	NA
cg13824156	0.220648483	0.137228868	0.177526025	0.160508998	0.155134417	0.151328641
cg13824302	0.110350818	0.079243519	0.070055136	0.085106748	0.085268345	0.175392064
cg13835053	0.076007618	0.061057872	0.082359871	0.07737063	0.107917508	0.07835895
cg13847898	0.908029096	0.907099486	0.937030592	0.892679112	0.932258513	0.921568953
cg13861644	0.775571027	0.597135536	0.707991111	0.923286792	0.796306452	0.6565887
cg13864354	NA	NA	NA	NA	NA	NA
cg13879937	0.905760864	0.898928881	0.893729584	0.89745365	0.916116859	0.872374271
cg13889221	0.983024559	0.982454248	0.98694446	0.977945207	0.982054896	0.98000628
cg13898771	NA	NA	NA	NA	NA	NA
cg13906792	0.763420497	0.736556764	0.650230786	0.715884384	0.711132245	0.746216801
cg13908232	0.726079064	0.670631436	0.75077798	0.707117222	0.715304957	0.720882449
cg13917020	0.859488216	0.864191604	0.464145692	0.718106186	0.742633937	0.869244168
cg13920792	NA	NA	NA	NA	NA	NA
cg13930105	0.017463334	0.01666681	0.015097388	0.019652785	0.019220351	0.020783995
cg13935765	NA	NA	NA	NA	NA	NA
cg13939055	0.267016837	0.147645207	0.171034168	0.237584213	0.238198691	0.239217258
cg13952002	0.482198063	0.513754562	0.412284252	0.528239891	0.626507375	0.588276281
cg13964746	NA	NA	NA	NA	NA	NA
cg13989834	0.768962263	0.786496229	0.817119985	0.721746169	0.706769295	0.709126525
cg14006677	0.186680306	0.135384685	0.15225875	0.150719443	0.145976303	0.188957243
cg14011486	0.245600486	0.176300358	0.022704234	0.042377634	0.195204813	0.276998004
cg14014041	0.863723291	0.92069704	0.846645596	0.911231722	0.926930693	0.89977009
cg14033059	NA	NA	NA	NA	NA	NA
cg14046302	0.650623136	0.599189459	0.456098135	0.874744951	0.676582795	0.745812609
cg14053657	0.708522865	0.676116487	0.716639475	0.784347946	0.755745037	0.701507225
cg14093255	NA	NA	NA	NA	NA	NA
cg14101940	0.333002605	0.327773111	0.299856468	0.419781189	0.377686828	0.360908495
cg14136893	0.917073572	0.934301516	0.935246291	0.810477594	0.882073608	0.942581272
cg14137625	0.896054264	0.901404371	0.913769835	0.814761646	0.905248165	0.917927709
cg14152268	0.392870101	0.360464007	0.310797401	0.369705444	0.425016979	0.399161811
cg14159672	0.794938324	0.446631824	0.231295124	0.569800279	0.253996141	0.531703946
cg14165308	0.139084766	0.115672266	0.114864634	0.130186604	0.134977574	0.12809585
cg14167389	0.398655273	0.337128303	0.327076959	0.361758074	0.465009137	0.407779629
cg14175932	NA	NA	NA	NA	NA	NA
cg14181874	NA	NA	NA	NA	NA	NA
cg14185860	0.730095867	0.729985899	0.551814432	0.899152219	0.791103863	0.800033911
cg14197156	NA	NA	NA	NA	NA	NA
cg14197632	NA	NA	NA	NA	NA	NA
cg14203721	0.921188172	0.940135819	0.917027937	0.934870346	0.943443644	0.940275518
cg14227325	NA	NA	NA	NA	NA	NA
cg14228300	NA	NA	NA	NA	NA	NA
cg14244251	0.929569227	0.954112503	0.943001283	0.930322446	0.946222521	0.948578547
cg14252149	NA	NA	NA	NA	NA	NA
cg14271023	NA	NA	NA	NA	NA	NA
cg14306330	0.551676946	0.467659606	0.634790572	NA	0.550864761	0.517291613
cg14324838	NA	NA	NA	NA	NA	NA
cg14336737	0.103007529	0.088004384	0.089463408	0.122693177	0.122889384	0.087708781
cg14346461	0.101419687	0.098274724	0.071849781	0.107975206	0.055857994	0.069803913
cg14351440	NA	NA	NA	NA	NA	NA
cg14361804	NA	NA	NA	NA	NA	NA
cg14368972	NA	NA	NA	NA	NA	NA
cg14388237	NA	NA	NA	NA	NA	NA
cg14417329	0.390225183	0.348834569	0.371071251	0.350886696	0.423108668	0.375897063
cg14433074	0.44714508	0.495696192	0.647689614	0.424863327	0.38974497	0.402988171
cg14435603	0.18744284	0.16100655	0.177204198	0.127411639	0.181175166	0.153095006
cg14449180	0.213387695	0.087170881	0.180607592	0.106838065	0.078173655	0.229457419
cg14470121	0.67883464	0.684105651	0.760153547	0.676049896	0.72880956	0.704651459
cg14478460	0.922564285	0.939993096	0.947998275	0.914183837	0.932476906	0.909836732
cg14485004	0.033493174	0.034541168	0.032714478	0.040397325	0.029855139	0.03052164
cg14488466	0.760241788	0.766888395	0.768068264	0.661873527	0.807640293	0.794028772
cg14507445	0.910049343	0.932416377	0.925917863	0.893665258	0.921228688	0.939191177
cg14510926	0.680825042	0.724667113	0.777615612	0.661440001	0.727839953	0.664744727
cg14539231	0.221219067	0.166963771	0.189651355	0.105541135	0.238301103	0.208114385
cg14548901	NA	NA	NA	NA	NA	NA
cg14551991	0.927899779	0.93669773	0.935698823	0.935197672	0.937267139	0.927387748
cg14575687	0.957667637	0.958277887	0.94791056	0.954684514	0.963597991	0.962665162
cg14581129	0.503863747	0.389412823	0.398108852	0.518174742	0.539753357	0.629506523
cg14597930	0.9286326	0.955148949	0.942665129	0.900636691	0.945769102	0.931741826
cg14647957	0.957694294	0.954328797	0.965922112	0.942831451	0.943993538	0.948580311
cg14649507	0.505315054	0.588167793	0.638197739	0.540663603	0.475672208	0.527026526
cg14654468	0.346156714	0.305082476	0.371729006	0.324256358	0.342111205	0.353681268
cg14655569	NA	NA	NA	NA	NA	NA
cg14709055	0.931358174	0.919956037	0.944149307	0.932348448	0.940269987	0.943307622
cg14740952	0.103618794	0.148724207	0.203830942	0.113995325	0.114382788	0.119239493
cg14752227	0.738902776	0.927634541	0.91386498	0.943136426	0.84146499	0.937174014
cg14781242	NA	NA	NA	NA	NA	NA
cg14796127	0.06470317	0.058792513	0.047248161	0.060774516	0.06011631	0.053015391
cg14814195	0.067853327	0.056277679	0.072259099	0.058559393	0.090989596	0.072574801
cg14830002	0.74523995	0.729349239	0.648720016	0.790507072	0.754413233	0.808754249
cg14830166	0.669136795	0.70066997	0.712954661	0.674194289	0.687787478	0.648300123
cg14841628	0.9479056	0.94829299	0.956493248	0.923305668	0.944489017	0.929687067
cg14845909	0.907518109	0.914953619	0.90920695	0.933142403	0.919827442	0.907403096
cg14853772	0.781777267	0.764028566	0.819698127	0.721522718	0.71245709	0.767230071
cg14885742	NA	NA	NA	NA	NA	NA
cg14964115	NA	NA	NA	NA	NA	NA
cg14975429	0.469229247	0.405380054	0.445323711	0.372750274	0.43892756	0.38859805
cg14982575	0.979467647	0.979755678	0.983730576	0.975277339	0.97914637	0.972604538
cg15001615	0.804123736	0.763572533	0.840499307	0.703906183	0.778844227	0.698513757
cg15013523	NA	NA	NA	NA	NA	NA
cg15017728	0.029842217	0.022135229	0.018926727	0.021370528	0.024742417	0.02400608
cg15019011	0.860408576	0.876076827	0.881252425	0.749907454	0.844149702	0.876791542
cg15029183	NA	NA	NA	NA	NA	NA
cg15029935	0.725434108	0.6392538	0.478641912	0.70752675	0.767044447	0.77055201
cg15043113	0.932198479	0.927953997	0.916878271	0.909685329	0.921739864	0.91860619
cg15043492	0.067174635	0.055920059	0.057657546	0.079796739	0.088457015	0.067344594
cg15059851	0.842669869	0.911697396	0.887944994	0.834415667	0.867042434	0.901439935
cg15094703	NA	NA	NA	NA	NA	NA
cg15110101	NA	NA	NA	NA	NA	NA
cg15119640	0.472202444	0.487958379	0.505553595	0.602947526	0.486130431	0.448770222
cg15147113	NA	NA	NA	NA	NA	NA
cg15160746	0.951955759	0.954878159	0.960958145	0.914895658	0.943733912	0.931826022
cg15170634	0.025384696	0.019691449	0.018303635	0.025963075	0.037061221	0.035122358
cg15177604	NA	NA	NA	NA	NA	NA
cg15183704	NA	NA	NA	NA	NA	NA
cg15224348	0.816250854	0.718098029	0.805883546	0.712809784	0.811291179	0.775118348
cg15228694	0.940742675	0.939652372	0.956052677	0.916829176	0.939259247	0.946533416
cg15236541	0.021142249	0.022139276	0.024501277	0.026009289	0.02487396	0.022989213
cg15245709	0.173973283	NA	0.199479085	NA	0.171163931	NA
cg15254860	NA	NA	NA	NA	NA	NA
cg15268456	0.941405198	0.948403227	0.946876798	0.929743685	0.956923972	0.943449861
cg15288010	0.942951886	0.938808478	0.949754679	0.925399547	0.933347321	0.939067476
cg15295200	NA	NA	NA	NA	NA	NA
cg15300101	NA	NA	NA	NA	NA	NA
cg15303329	NA	NA	NA	NA	NA	NA
cg15313226	0.016870764	0.016488838	0.015099554	0.022887594	0.01822787	0.019884047
cg15316716	0.925217816	0.91950918	0.948737648	0.905976871	0.925170543	0.864220555
cg15351736	0.091401785	0.086910865	0.119878131	0.11751446	0.10325225	0.103190356
cg15393297	0.959138944	0.954898249	0.960020357	0.930176087	0.958289548	0.940113067
cg15396367	0.307901436	0.324885421	0.262902023	0.275623714	0.265952568	0.23228509
cg15402732	NA	NA	NA	NA	NA	NA
cg15456821	0.323710061	0.306825706	0.230056934	0.304467417	0.29293311	0.3085163
cg15457276	0.131572821	0.143677495	0.135384148	0.078636943	0.123022717	0.125331725
cg15474337	NA	NA	NA	NA	NA	NA
cg15475080	0.055700762	0.050503554	0.053302267	0.058410632	0.061323583	0.054554404
cg15486123	0.814546971	0.901293788	0.878923972	0.859301497	0.863345108	0.900107163
cg15527554	0.932381363	0.928011181	0.926596338	0.905866178	0.922489354	0.912679641
cg15534755	0.417289848	0.49843443	0.51370724	0.350549621	0.578296603	0.555860944
cg15537850	0.381629714	0.398633279	0.391584775	0.38235389	0.424796251	0.382585217
cg15548566	0.94346558	0.952769365	0.93863508	0.944109968	0.95288796	0.940992197
cg15551781	0.927753722	0.897024874	0.901905031	0.925706509	0.935364906	0.947475037
cg15565872	0.074067041	0.073674337	0.066582432	0.062114546	0.063854729	0.06962406
cg15585213	NA	NA	NA	NA	NA	NA
cg15592062	0.620744105	0.633116312	0.673422397	0.641217314	0.663007676	0.666975974
cg15603957	NA	NA	NA	NA	NA	NA
cg15663948	NA	NA	NA	NA	NA	NA
cg15665203	0.395719596	0.419240435	0.393564896	0.37944571	0.378684005	0.399894033
cg15725238	NA	NA	NA	NA	NA	NA
cg15755924	0.024115714	0.02324235	0.020486723	0.029959103	0.024674933	0.02354865
cg15803050	NA	NA	NA	NA	NA	NA
cg15808604	0.94340164	0.930488464	0.942209699	0.891998822	0.928004415	0.904951093
cg15823438	0.862105351	0.885222415	0.841981206	0.782644735	0.865386651	0.820562521
cg15828613	NA	NA	NA	NA	NA	NA
cg15840554	0.893737533	0.919982892	0.925645992	0.868338669	0.902554609	0.908459956
cg15841210	0.955593326	0.931810916	0.949469319	0.954580659	0.923718005	0.937324497
cg15909232	0.702769098	0.753828378	0.727742298	NA	0.743830036	0.778620176
cg15912010	0.842416836	0.882085982	0.819146259	0.893269326	0.882129083	0.893986316
cg15912390	0.842822493	0.902395057	0.879009479	0.875388365	0.873567479	0.890724076
cg15928068	0.019846262	0.015353388	0.015848935	0.021422639	0.015200309	0.01717896
cg15935096	NA	NA	NA	NA	NA	NA
cg15956008	0.02833469	0.02144474	0.023084777	0.029223651	0.024777218	0.030598341
cg15983528	0.942500646	0.917802285	0.927132736	0.943064777	0.944379909	0.94924408
cg15983585	0.412326924	0.535661405	0.319822383	0.525245238	0.476507257	0.346077125
cg15989981	NA	NA	NA	NA	NA	NA
cg15994519	0.956469082	0.953560846	0.951932768	0.93384756	0.951714722	0.947733624
cg16039142	0.820741627	0.836280208	0.831557158	0.838533329	0.810601806	0.868012359
cg16042668	0.377668453	0.306686721	0.335086489	0.270495902	0.385602226	0.320234473
cg16058498	NA	NA	NA	NA	NA	NA
cg16097380	0.021249599	0.01954756	0.022013418	0.021654595	0.022242069	0.019605075
cg16098170	0.921444286	0.908754293	0.906430867	0.865996502	0.895161203	0.84834568
cg16140565	NA	NA	NA	NA	NA	NA
cg16142265	0.059172448	0.047804321	0.054577223	0.053580323	0.053279892	0.049647109
cg16145187	NA	NA	NA	NA	NA	NA
cg16180353	0.626794835	0.631920072	0.754079568	0.418922984	0.594638145	0.588951899
cg16187528	NA	NA	NA	NA	NA	NA
cg16188532	0.047094927	0.047030722	0.046648879	0.0498688	0.058067465	0.050604408
cg16198990	0.088583184	0.074210225	0.096309725	0.111913205	0.063051718	0.101869533
cg16226642	0.895275528	0.896107901	0.884844417	0.854153984	0.88752456	0.838270142
cg16246713	0.484043905	0.406394213	0.393888122	0.671692875	0.521739469	0.516985732
cg16252995	0.942507303	0.944574078	0.956424422	0.928316489	0.955678507	0.944277703
cg16308790	0.310425734	0.255062119	0.297749021	0.335727219	0.40993205	0.394259507
cg16329197	0.147235618	0.071707749	0.06161607	0.142789357	0.159489399	0.25503758
cg16332920	NA	NA	NA	NA	NA	NA
cg16342037	0.025793613	0.028248209	0.031986537	0.032212798	0.027119718	0.029278654
cg16364629	NA	NA	NA	NA	NA	NA
cg16386242	NA	NA	NA	NA	NA	NA
cg16387850	0.572333124	0.545983942	0.590432797	0.433816899	0.571940851	0.613238614
cg16399632	0.279592421	0.153608602	0.444365835	0.337353164	0.292101168	0.3748243
cg16404569	0.915856236	0.945800713	0.932752991	0.945251471	0.89183003	0.93259251
cg16411857	0.358563359	0.519325976	0.443532711	0.329239751	0.494104243	0.418992109
cg16422365	0.541936629	0.604636303	0.493271876	0.511046197	0.617525133	0.587502795
cg16443633	NA	NA	NA	NA	NA	NA
cg16449808	NA	NA	NA	NA	NA	NA
cg16452865	0.501479345	0.506966742	0.487973121	0.566335302	0.481731739	0.484417119
cg16461251	0.058708677	0.075088559	0.054016008	0.062416049	0.042337909	0.047835353
cg16466750	0.889156884	0.917504189	0.914976568	0.912654241	0.905310597	0.891569475
cg16484042	0.8708819	0.906551821	0.912746728	0.931049833	0.904932619	0.889964254
cg16490805	NA	NA	NA	NA	NA	NA
cg16518115	NA	NA	NA	NA	NA	NA
cg16518209	NA	NA	NA	NA	NA	NA
cg16530596	NA	NA	NA	NA	NA	NA
cg16578226	0.947677752	0.944155781	0.957784093	0.952628708	0.965584901	0.953853462
cg16578825	0.780465072	0.811876346	0.887197382	0.803626771	0.791315972	0.819769719
cg16585244	0.924525252	0.938995463	0.925570601	0.908968885	0.930116697	0.923484312
cg16620537	0.080410149	0.066947294	0.062353682	0.091424859	0.085410641	0.093731634
cg16649728	NA	NA	NA	NA	NA	NA
cg16656875	NA	NA	NA	NA	NA	NA
cg16678169	NA	NA	NA	NA	NA	NA
cg16702660	NA	NA	NA	NA	NA	NA
cg16712730	0.655420772	0.64538161	0.656959749	0.67135758	0.658373007	0.637268354
cg16791832	NA	NA	NA	NA	NA	NA
cg16792234	NA	NA	NA	NA	NA	NA
cg16794961	0.94977994	0.94008481	0.934317437	0.925956001	0.948106728	0.936629836
cg16798686	0.951415631	0.946729616	0.943468042	0.924285797	0.959066663	0.948361462
cg16805553	NA	NA	NA	NA	NA	NA
cg16835531	NA	NA	NA	NA	NA	NA
cg16843994	0.915390689	0.920967403	0.916062437	0.846801368	0.916157982	0.867330338
cg16848221	NA	NA	NA	NA	NA	NA
cg16905207	0.876515513	0.864787527	0.85772634	0.838096073	0.881374464	0.863113511
cg16906555	NA	NA	NA	NA	NA	NA
cg16908830	NA	NA	NA	NA	NA	NA
cg16910670	0.57507059	0.959559089	0.952058379	0.936936477	0.955373768	0.941900761
cg16912848	0.874946509	0.850282679	0.919587926	0.888683137	0.876074703	0.80955103
cg16922012	0.923045209	0.900111502	0.829809631	0.921383363	0.91493805	0.929440628
cg16922937	0.592259385	0.537578677	0.461721975	0.589153076	0.588643806	0.642270733
cg16954385	NA	NA	NA	NA	NA	NA
cg16969586	0.320460912	0.320337475	0.343075092	0.336148034	0.258696839	0.251608728
cg16983801	0.915403504	0.915110694	0.912968711	0.84749412	0.925694621	0.883933433
cg16985778	0.338676535	0.239697555	0.226135764	0.33767502	0.374069468	0.319067317
